A|General Economics and Teaching
P33|International Trade, Finance, Investment, Relations, and Aid
P34|Financial Economics
P35|Public Economics
P36|Consumer Economics &bull; Health &bull; Education and Training &bull; Welfare, Income, Wealth, and Poverty
P37|Legal Institutions &bull; Illegal Behavior
P39|Other
P4|Other Economic Systems
P40|General
P41|Planning, Coordination, and Reform
P42|Productive Enterprises &bull; Factor and Product Markets &bull; Prices &bull; Population
P43|Public Economics &bull; Financial Economics
P44|National Income, Product, and Expenditure &bull; Money &bull; Inflation
P45|International Trade, Finance, Investment, and Aid
P46|Consumer Economics &bull; Health &bull; Education and Training &bull; Welfare, Income, Wealth, and Poverty
P47|Performance and Prospects
P48|Political Economy &bull; Legal Institutions &bull; Property Rights &bull; Natural Resources &bull; Energy &bull; Environment &bull; Regional Studies
P49|Other
P5|Comparative Economic Systems
P50|General
P51|Comparative Analysis of Economic Systems
P52|Comparative Studies of Particular Economies
P59|Other
Q|Agricultural and Natural Resource Economics &bull; Environmental and Ecological Economics
Q0|General
Q00|General
Q01|Sustainable Development
Q02|Commodity Markets
Q1|Agriculture
Q10|General
Q11|Aggregate Supply and Demand Analysis &bull; Prices
Q12|Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets
Q13|Agricultural Markets and Marketing &bull; Cooperatives &bull; Agribusiness
Q14|Agricultural Finance
Q15|Land Ownership and Tenure &bull; Land Reform &bull; Land Use &bull; Irrigation &bull; Agriculture and Environment
Q16|R&D &bull; Agricultural Technology &bull; Biofuels &bull; Agricultural Extension Services
Q17|Agriculture in International Trade
Q18|Agricultural Policy &bull; Food Policy
Q19|Other
Q2|Renewable Resources and Conservation
Q20|General
Q21|Demand and Supply &bull; Prices
Q22|Fishery &bull; Aquaculture
Q23|Forestry
Q24|Land
Q25|Water
Q26|Recreational Aspects of Natural Resources
Q27|Issues in International Trade
Q28|Government Policy
Q29|Other
Q3|Nonrenewable Resources and Conservation
Q30|General
Q31|Demand and Supply &bull; Prices
Q32|Exhaustible Resources and Economic Development
Q33|Resource Booms
Q34|Natural Resources and Domestic and International Conflicts
Q35|Hydrocarbon Resources
Q37|Issues in International Trade
Q38|Government Policy
Q39|Other
Q4|Energy
Q40|General
Q41|Demand and Supply &bull; Prices
Q42|Alternative Energy Sources
Q43|Energy and the Macroeconomy
Q47|Energy Forecasting
Q48|Government Policy
Q49|Other
Q5|Environmental Economics
Q50|General
Q51|Valuation of Environmental Effects
Q52|Pollution Control Adoption and Costs &bull; Distributional Effects &bull; Employment Effects
Q53|Air Pollution &bull; Water Pollution &bull; Noise &bull; Hazardous Waste &bull; Solid Waste &bull; Recycling
Q54|Climate &bull; Natural Disasters and Their Management &bull; Global Warming
Q55|Technological Innovation
Q56|Environment and Development &bull; Environment and Trade &bull; Sustainability &bull; Environmental Accounts and Accounting &bull; Environmental Equity &bull; Population Growth
Q57|Ecological Economics: Ecosystem Services &bull; Biodiversity Conservation &bull; Bioeconomics &bull; Industrial Ecology
Q58|Government Policy
Q59|Other
R|Urban, Rural, Regional, Real Estate, and Transportation Economics
R0|General
R00|General
R1|General Regional Economics
R10|General
R11|Regional Economic Activity: Growth, Development, Environmental Issues, and Changes
R12|Size and Spatial Distributions of Regional Economic Activity
R13|General Equilibrium and Welfare Economic Analysis of Regional Economies
R14|Land Use Patterns
R15|Econometric and Input&ndash;Output Models &bull; Other Models
R19|Other
R2|Household Analysis
R20|General
R21|Housing Demand
R22|Other Demand
R23|Regional Migration &bull; Regional Labor Markets &bull; Population &bull; Neighborhood Characteristics
R28|Government Policy
R29|Other
R3|Real Estate Markets, Spatial Production Analysis, and Firm Location
R30|General
R31|Housing Supply and Markets
R32|Other Spatial Production and Pricing Analysis
R33|Nonagricultural and Nonresidential Real Estate Markets
R38|Government Policy
R39|Other
R4|Transportation Economics
R40|General
R41|Transportation: Demand, Supply, and Congestion &bull; Travel Time &bull; Safety and Accidents &bull; Transportation Noise
R42|Government and Private Investment Analysis &bull; Road Maintenance &bull; Transportation Planning
R48|Government Pricing and Policy
R49|Other
R5|Regional Government Analysis
R50|General
R51|Finance in Urban and Rural Economies
R52|Land Use and Other Regulations
R53|Public Facility Location Analysis &bull; Public Investment and Capital Stock
R58|Regional Development Planning and Policy
R59|Other
Y|Miscellaneous Categories
Y1|Data: Tables and Charts
Y10|Data: Tables and Charts 
Y2|Introductory Material
Y20|Introductory Material
Y3|Book Reviews (unclassified)
Y30|Book Reviews (unclassified) 
Y4|Dissertations (unclassified)
Y40|Dissertations (unclassified)
Y5|Further Reading (unclassified)
Y50|Further Reading (unclassified)
Y6|Excerpts
Y60|Excerpts
Y7|No Author General Discussions
Y70|No Author General Discussions
Y8|Related Disciplines
Y80|Related Disciplines
Y9|Other
Y90|Other
Y91|Pictures and Maps
Y92|Novels, Self-Help Books, etc.
Z|Other Special Topics
Z0|General
Z00|General
Z1|Cultural Economics &bull; Economic Sociology &bull; Economic Anthropology
Z10|General
Z11|Economics of the Arts and Literature
Z12|Religion
Z13|Economic Sociology &bull; Economic Anthropology &bull; Language &bull; Social and Economic Stratification 
Z18|Public Policy
Z19|Other
Z2|Sports Economics
Z20|General
Z21|Industry Studies
Z22|Labor Issues
Z23|Finance
Z28|Policy
Z29|Other
Z3|Tourism Economics
Z30|General
Z31|Industry Studies
Z32|Tourism and Development 
Z33|Marketing and Finance 
Z38|Policy 
Z39|Other
